predecessor,source_ids,contribution,layer,limits_for_BEP,proposed_application,status
Database provenance / ProvSQL,S18,Explains derivation and origin of query results,Query provenance,Not automatically task-relative sufficiency or a whole dependency-aware package,Evaluate provenance extraction cost and preserved derivations,reconstructed from recovered analytical report; not a new systematic review
W3C PROV,S15,"Entities, activities, agents and derivation relationships",Provenance model,Does not select task evidence or certify substantive correctness,"Map source acquisition, transformations and compilation separately",reconstructed from recovered analytical report; not a new systematic review
Nanopublications,S14,Small attributable assertions and associated provenance,Assertion-level publication,Does not itself establish bounded closure for arbitrary user questions,Reuse separation of assertion and publication provenance,reconstructed from recovered analytical report; not a new systematic review
Trusty URIs,S16,Content-verifiable linked artefacts,Identity and integrity,"Intact content is not necessarily true, current or sufficient",Compare immutable identifiers and dependency references,reconstructed from recovered analytical report; not a new systematic review
RO-Crate,S17;S36,Aggregation and description of research outputs,Archival packaging,An archive is not automatically a task-minimal model payload,Use packaging ideas without forcing archive-sized model context,reconstructed from recovered analytical report; not a new systematic review
GraphRAG,S24,Graph-and-text context construction,Retrieval and context,Graph traversal alone does not enforce authored qualifications,Baseline with graph retrieval but no declared requirement closure,reconstructed from recovered analytical report; not a new systematic review
Sufficient Context,S19,Separates inadequate context from failure to use adequate context,Evaluation,Its evaluated data and models do not validate this BEP implementation,Use oracle-context and ordinary-context conditions,reconstructed from recovered analytical report; not a new systematic review
AIS and ALCE,S20;S21,Attribution and citation support evaluation,Answer assessment,Valid citations do not prove necessary exceptions were supplied,Measure answer attribution separately from evidence completeness,reconstructed from recovered analytical report; not a new systematic review
Lost in the Middle,S25,Investigates position-sensitive use of context,Consumer behaviour,Not evidence that one layout is optimal for all current models,Hold evidence fixed and vary order/rendering,reconstructed from recovered analytical report; not a new systematic review
RECOMP,S26,Selective augmentation and context compression,Context efficiency,Compression may change qualifications or source status,"Separate lossless, extractive and abstractive variants",reconstructed from recovered analytical report; not a new systematic review
Proof-carrying systems,S37,Formal proof checking against a stated policy,Machine-checked logical guarantee,A BEP selection path is not a formal proof,Prevent claims that provenance or graph paths entail domain conclusions,reconstructed from recovered analytical report; not a new systematic review
Operational bounded evidence packages,S27,"Scoped observations, exclusions and failures for incident analysis",Practical neighbouring pattern,Not evidence of a standard or equivalent deterministic guarantees,Inspect scope and failure records rather than asserting novelty,reconstructed from recovered analytical report; not a new systematic review
