id,threat,failure_mode,control,test,limitation
T01,Source prompt injection,"Source text requests tools, secrets or new policy",Keep evidence inert; trusted orchestration and no source-directed execution,Inject malicious source text; confirm no tool execution,This package does not test an actual model host
T02,Forged authority,Derived content adopts official status,Separate source authority from assertion derivation; validate registry bindings,Synthetic authority promoted to official must fail,Publisher identity verification not implemented
T03,Stale evidence,Current request receives obsolete source version,"Bind source dates, snapshots and request time; fail ambiguity",Version mismatch should block sufficiency,Temporal rule resolution requires producer/domain implementation
T04,Access leakage,Omission or cache exposes restricted record identity,Authorise before selection; public non-disclosing diagnostics; partition cache,Restricted fixture must reveal neither identity nor count,No restricted-data authorisation service delivered
T05,Cache confusion,Different scopes or permissions share package,"Include semantics, policy, view, budget and source versions in cache key",Mutate one binding at a time,No cache implementation or concurrency test delivered
T06,Canonicalisation mismatch,"Locale, number or ordering differences change identity",Versioned canonicalisation; duplicate-key and surrogate rejection,Run independent expected-byte vectors,"Bounded tests, not full RFC certification"
T07,Omission laundering,Omitted exception retains sufficient status,Explicit missing states and conservative support obligations,Remove qualification and retain status; reject,Requirements may themselves omit real-world facts
T08,Graph resource exhaustion,Cycles or excessive degree consume unbounded work,Deterministic traversal limits; separate timeout failure,Cycles and high fan-out controlled fixture,Traversal engine not implemented here
T09,Citation export failure,Session-local identifiers appear in artefacts,Stable source register; fail-closed citation map; final archive-member scan,Wrapped and flattened citation mutations,No proprietary exporter internals inspected
T10,Archive integrity error,Manifest or compression hides modified bytes,Validate each member hash and uncompressed size; bounded extraction,Tamper member; reject mismatch,No signature or trusted timestamp authority provided
T11,Consumer projection drift,Readable and structured evidence disagree,Generate both from one immutable core; bind projection identity,Compare exact projection inputs,MCP/voice projection execution not performed
T12,Unsupported delivery claims,Report says tests passed without usable artefacts,Link claim to actual file and execution receipt; distinguish new from original,Audit declared outputs against archive members,Fresh receipts do not prove old runs occurred
